# SN dust phases and masses compiled by T. Moore (STScI) 11 October 2025. Please do reach out if there are errors or if I have missed your favorite SN. Please contact T. Moore on Slack or at tmoore@stsci.edu
SN,epoch,type,dust_mass,telescope,ref,ads link
SN 2005gn,1479,IIn,0.0019,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2006jc,210,Ibn,0.000595,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2006jc,412,Ibn,0.000716,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2006my,205,IIP,0.0492,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2006my,342,IIP,0.03074,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2006my,559,IIP,0.0396,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2006ov,321,IIP,0.025,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2006ov,539,IIP,0.00976,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2007it,343,IIP,5e-05,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2007it,553,IIP,0.000106,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2007it,710,IIP,0.00015900000000000002,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2007it,934,IIP,0.00133,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2007oc,251,IIP,0.0031,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2007oc,415,IIP,0.0037,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2008J,593,IIn,0.0087,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2008fq,1168,II,9.5e-05,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
SN 2009E,547,IIP,0.0508,Spitzer,Szalai+19,https://ui.adsabs.harvard.edu/abs/2019yCat..22410038S/abstract
